"commonnamegroupid","name","galenicformid","name_noaccent","publicName"
"2","ácido salicílico * 0,1 % + triamcinolona acetónido * 0,02 % ; uso cutáneo ; loción","266","ACIDO SALICILICO * 0,1 % + TRIAMCINOLONA ACETONIDO * 0,02 % ; USO CUTANEO ; LOCION","ACIDO SALICILICO 0,1 % + TRIAMCINOLONA ACETONIDO 0,02 % loción"
"1878","aripiprazol * 5 mg ; vía oral ; comprimido","59","ARIPIPRAZOL * 5 MG ; VIA ORAL ; COMPRIMIDO","ARIPIPRAZOL 5 mg comprimido"
"1879","arsénico trióxido * 1 mg/ml ; vía parenteral ; concentrado para solución para perfusión","453","ARSENICO TRIOXIDO * 1 MG/ML ; VIA PARENTERAL ; CONCENTRADO PARA SOLUCION PARA PERFUSION","ARSENICO TRIOXIDO 1 mg/ml concentrado para solución para perfusión"
"1880","metronidazol * 250 mg ; vía oral ; comprimido","59","METRONIDAZOL * 250 MG ; VIA ORAL ; COMPRIMIDO","METRONIDAZOL 250 mg comprimido"
"1881","lidocaína * 37 % + paraformaldehido * 46 % ; uso dental ; pasta dental","319","LIDOCAINA * 37 % + PARAFORMALDEHIDO * 46 % ; USO DENTAL ; PASTA DENTAL","LIDOCAINA 37 % + PARAFORMALDEHIDO 46 % pasta dental"
"1882","etinilestradiol * 30 µg + levonorgestrel * 150 µg ; vía oral ; comprimido","59","ETINILESTRADIOL * 30 µG + LEVONORGESTREL * 150 µG ; VIA ORAL ; COMPRIMIDO","ETINILESTRADIOL 30 µg + LEVONORGESTREL 150 µg comprimido"
"1883","risperidona * 25 mg/2 ml ; vía parenteral ; polvo y disolvente para suspensión de liberación prolongada inyectable en jeringa precargada","1815","RISPERIDONA * 25 MG/2 ML ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SUSPENSION DE LIBERACION PROLONGADA INYECTABLE EN JERINGA PRECARGADA","RISPERIDONA 25 mg/2 ml polvo y disolvente para suspensión de liberación prolongada inyectable en jeringa precargada"
"1884","floroglucinol * 80 mg ; vía oral ; comprimido bucodispersable","107","FLOROGLUCINOL * 80 MG ; VIA ORAL ; COMPRIMIDO BUCODISPERSABLE","FLOROGLUCINOL 80 mg comprimido bucodispersable"
"1885","morfina sulfato * 5 mg ; vía oral ; cápsula dura","219","MORFINA SULFATO * 5 MG ; VIA ORAL ; CAPSULA DURA","MORFINA SULFATO 5 mg cápsula dura"
"1886","bicarbonato sódico * 267 mg/10 ml + alginato sódico * 500 mg/10 ml ; vía oral ; suspensión oral","560","BICARBONATO SODICO * 267 MG/10 ML + ALGINATO SODICO * 500 MG/10 ML ; VIA ORAL ; SUSPENSION ORAL","BICARBONATO SODICO 267 mg/10 ml + ALGINATO SODICO 500 mg/10 ml suspensión oral"
"1887","cefaclor * 500 mg ; vía oral ; comprimido de liberación prolongada","72","CEFACLOR * 500 MG ; VIA ORAL ; COMPRIMIDO DE LIBERACION PROLONGADA","CEFACLOR 500 mg comprimido de liberación prolongada"
"1888","budesónida * 80 µg/dosis + formoterol fumarato * 4,5 µg/dosis ; vía inhalatoria ; polvo para inhalación","394","BUDESONIDA * 80 µG/DOSIS + FORMOTEROL FUMARATO * 4,5 µG/DOSIS ; VIA INHALATORIA ; POLVO PARA INHALACION","BUDESONIDA 80 µg/dosis + FORMOTEROL FUMARATO 4,5 µg/dosis polvo para inhalación"
"1889","bezafibrato * 400 mg ; vía oral ; comprimido de liberación prolongada","72","BEZAFIBRATO * 400 MG ; VIA ORAL ; COMPRIMIDO DE LIBERACION PROLONGADA","BEZAFIBRATO 400 mg comprimido de liberación prolongada"
"1890","cefuroxima (axetilo) * 500 mg ; vía oral ; comprimido","59","CEFUROXIMA (AXETILO) * 500 MG ; VIA ORAL ; COMPRIMIDO","CEFUROXIMA (axetilo) 500 mg comprimido"
"1891","ceftriaxona (sódica) * 1 g/10 ml ; vía parenteral ; polvo y disolvente para solución inyectable","369","CEFTRIAXONA (SODICA) * 1 G/10 ML ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","CEFTRIAXONA (sódica) 1 g/10 ml polvo y disolvente para solución inyectable"
"1892","celecoxib * 200 mg ; vía oral ; cápsula dura","219","CELECOXIB * 200 MG ; VIA ORAL ; CAPSULA DURA","CELECOXIB 200 mg cápsula dura"
"1893","hidroxietilrutósidos * 1.000 mg ; vía oral ; polvo para solución oral en sobre","1811","HIDROXIETILRUTOSIDOS * 1.000 MG ; VIA ORAL ; POLVO PARA SOLUCION ORAL EN SOBRE","HIDROXIETILRUTOSIDOS 1.000 mg polvo para solución oral en sobre"
"1894","nicotina (polacrilina) * 4 mg ; vía bucal ; chicle medicamentoso","233","NICOTINA (POLACRILINA) * 4 MG ; VIA BUCAL ; CHICLE MEDICAMENTOSO","NICOTINA (polacrilina) 4 mg chicle medicamentoso"
"1895","limeciclina * 226 mg ; vía oral ; cápsula dura","219","LIMECICLINA * 226 MG ; VIA ORAL ; CAPSULA DURA","LIMECICLINA 226 mg cápsula dura"
"1896","alcanfor * 5,5 % + resorcina * 2 % ; uso dental ; pasta dental","319","ALCANFOR * 5,5 % + RESORCINA * 2 % ; USO DENTAL ; PASTA DENTAL","ALCANFOR 5,5 % + RESORCINA 2 % pasta dental"
"1897","benzalconio cloruro * 0,04 % ; vía nasal ; solución para pulverización nasal","541","BENZALCONIO CLORURO * 0,04 % ; VIA NASAL ; SOLUCION PARA PULVERIZACION NASAL","BENZALCONIO CLORURO 0,04 % solución para pulverización nasal"
"1898","alprostadil * 20 µg/0,5 ml ; vía intracavernosa ; polvo y disolvente para solución inyectable en cartucho","2003","ALPROSTADIL * 20 µG/0,5 ML ; VIA INTRACAVERNOSA ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EN CARTUCHO","ALPROSTADIL 20 µg/0,5 ml polvo y disolvente para solución inyectable en cartucho"
"1899","desoxirribonucleasa * 24.000 U/20 g + fibrinolisina * 27 U/20 g ; uso cutáneo ; pomada","330","DESOXIRRIBONUCLEASA * 24.000 U/20 G + FIBRINOLISINA * 27 U/20 G ; USO CUTANEO ; POMADA","DESOXIRRIBONUCLEASA 24.000 U/20 g + FIBRINOLISINA 27 U/20 g pomada"
"1900","dextrometorfano bromhidrato * 1,33 mg/ml ; vía oral ; jarabe","444","DEXTROMETORFANO BROMHIDRATO * 1,33 MG/ML ; VIA ORAL ; JARABE","DEXTROMETORFANO BROMHIDRATO 1,33 mg/ml jarabe"
"1901","cefadroxilo * 500 mg ; vía oral ; cápsula dura","219","CEFADROXILO * 500 MG ; VIA ORAL ; CAPSULA DURA","CEFADROXILO 500 mg cápsula dura"
"1902","somatropina * 5 mg/1,5 ml ; vía parenteral ; solución inyectable","476","SOMATROPINA * 5 MG/1,5 ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","SOMATROPINA 5 mg/1,5 ml solución inyectable"
"1903","fosfocitroglutamato de arginina y potasio * 500 mg ; vía oral ; comprimido masticable","63","FOSFOCITROGLUTAMATO DE ARGININA Y POTASIO * 500 MG ; VIA ORAL ; COMPRIMIDO MASTICABLE","FOSFOCITROGLUTAMATO DE ARGININA Y POTASIO 500 mg comprimido masticable"
"1904","mesalazina * 500 mg ; vía oral ; comprimido de liberación prolongada","72","MESALAZINA * 500 MG ; VIA ORAL ; COMPRIMIDO DE LIBERACION PROLONGADA","MESALAZINA 500 mg comprimido de liberación prolongada"
"1905","apomorfina clorhidrato * 2 mg ; vía sublingual  ; comprimido sublingual","141","APOMORFINA CLORHIDRATO * 2 MG ; VIA SUBLINGUAL  ; COMPRIMIDO SUBLINGUAL","APOMORFINA CLORHIDRATO 2 mg comprimido sublingual"
"1906","amisulprida * 400 mg ; vía oral ; comprimido","59","AMISULPRIDA * 400 MG ; VIA ORAL ; COMPRIMIDO","AMISULPRIDA 400 mg comprimido"
"1907","palmítico ácido * 0,1 % + galactosa * 9,9 % ; vía parenteral ; granulado y disolvente para suspensión inyectable","245","PALMITICO ACIDO * 0,1 % + GALACTOSA * 9,9 % ; VIA PARENTERAL ; GRANULADO Y DISOLVENTE PARA SUSPENSION INYECTABLE","PALMITICO ACIDO 0,1 % + GALACTOSA 9,9 % granulado y disolvente para suspensión inyectable"
"1908","dextrometorfano bromhidrato * 25 mg ; vía oral ; solución oral en sobre","1827","DEXTROMETORFANO BROMHIDRATO * 25 MG ; VIA ORAL ; SOLUCION ORAL EN SOBRE","DEXTROMETORFANO BROMHIDRATO 25 mg solución oral en sobre"
"1909","cefuroxima (sódica) * 250 mg ; vía parenteral ; polvo para solución inyectable","411","CEFUROXIMA (SODICA) * 250 MG ; VIA PARENTERAL ; POLVO PARA SOLUCION INYECTABLE","CEFUROXIMA (sódica) 250 mg polvo para solución inyectable"
"1910","cefatrizina (propilenglicol) * 500 mg/5 ml ; vía oral ; polvo para suspensión oral","422","CEFATRIZINA (PROPILENGLICOL) * 500 MG/5 ML ; VIA ORAL ; POLVO PARA SUSPENSION ORAL","CEFATRIZINA (propilenglicol) 500 mg/5 ml polvo para suspensión oral"
"1911","morniflumato * 400 mg ; vía rectal ; supositorio","555","MORNIFLUMATO * 400 MG ; VIA RECTAL ; SUPOSITORIO","MORNIFLUMATO 400 mg supositorio"
"1912","glicerol * 630 mg ; vía rectal ; supositorio","555","GLICEROL * 630 MG ; VIA RECTAL ; SUPOSITORIO","GLICEROL 630 mg supositorio"
"1913","dimenhidrinato * 50 mg ; vía oral ; cápsula dura","219","DIMENHIDRINATO * 50 MG ; VIA ORAL ; CAPSULA DURA","DIMENHIDRINATO 50 mg cápsula dura"
"1914","bisacodilo * 5 mg ; vía oral ; comprimido gastrorresistente","106","BISACODILO * 5 MG ; VIA ORAL ; COMPRIMIDO GASTRORRESISTENTE","BISACODILO 5 mg comprimido gastrorresistente"
"1916","colecalciferol * 200.000 UI/2 ml ; vía oral ; solución oral","461","COLECALCIFEROL * 200.000 UI/2 ML ; VIA ORAL ; SOLUCION ORAL","COLECALCIFEROL 200.000 UI/2 ml solución oral"
"1917","ciclopentolato clorhidrato * 0,5 % ; vía oftálmica ; colirio en solución en envase unidosis","1839","CICLOPENTOLATO CLORHIDRATO * 0,5 % ; VIA OFTALMICA ; COLIRIO EN SOLUCION EN ENVASE UNIDOSIS","CICLOPENTOLATO CLORHIDRATO 0,5 % colirio en solución en envase unidosis"
"1918","ciprofibrato * 100 mg ; vía oral ; cápsula dura","219","CIPROFIBRATO * 100 MG ; VIA ORAL ; CAPSULA DURA","CIPROFIBRATO 100 mg cápsula dura"
"1919","dobutamina (hidrocloruro) * 2 mg/ml ; vía parenteral ; solución para perfusión","531","DOBUTAMINA (HIDROCLORURO) * 2 MG/ML ; VIA PARENTERAL ; SOLUCION PARA PERFUSION","DOBUTAMINA (hidrocloruro) 2 mg/ml solución para perfusión"
"1920","darbepoetina alfa * 300 µg ; vía parenteral ; solución inyectable en jeringa precargada","1845","DARBEPOETINA ALFA * 300 µG ; VIA PARENTERAL ; SOLUCION INYECTABLE EN JERINGA PRECARGADA","DARBEPOETINA ALFA 300 µg solución inyectable en jeringa precargada"
"1921","clomipramina clorhidrato * 10 mg ; vía oral ; comprimido","59","CLOMIPRAMINA CLORHIDRATO * 10 MG ; VIA ORAL ; COMPRIMIDO","CLOMIPRAMINA CLORHIDRATO 10 mg comprimido"
"1922","tiotropio (bromuro) * 18 µg ; vía inhalatoria ; polvo para inhalación en cápsula dura","399","TIOTROPIO (BROMURO) * 18 µG ; VIA INHALATORIA ; POLVO PARA INHALACION EN CAPSULA DURA","TIOTROPIO (bromuro) 18 µg polvo para inhalación en cápsula dura"
"1923","teofilina (acetato sódico) * 1 % ; vía oral ; jarabe","444","TEOFILINA (ACETATO SODICO) * 1 % ; VIA ORAL ; JARABE","TEOFILINA (acetato sódico) 1 % jarabe"
"1924","metopimazina * 5 mg ; vía rectal ; supositorio","555","METOPIMAZINA * 5 MG ; VIA RECTAL ; SUPOSITORIO","METOPIMAZINA 5 mg supositorio"
"1925","cisplatino * 1 mg/ml ; vía parenteral ; solución inyectable","476","CISPLATINO * 1 MG/ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","CISPLATINO 1 mg/ml solución inyectable"
"1926","cefatrizina (propilenglicol) * 125 mg/5 ml ; vía oral ; polvo para suspensión oral","422","CEFATRIZINA (PROPILENGLICOL) * 125 MG/5 ML ; VIA ORAL ; POLVO PARA SUSPENSION ORAL","CEFATRIZINA (propilenglicol) 125 mg/5 ml polvo para suspensión oral"
"1927","estradiol * 37,5 µg/24 h ; vía transdérmica ; dispositivo transdérmico bisemanal","1810","ESTRADIOL * 37,5 µG/24 H ; VIA TRANSDERMICA ; DISPOSITIVO TRANSDERMICO BISEMANAL","ESTRADIOL 37,5 µg/24 h dispositivo transdérmico bisemanal"
"1928","dopexamina clorhidrato * 50 mg/5 ml ; vía parenteral ; solución para perfusión","531","DOPEXAMINA CLORHIDRATO * 50 MG/5 ML ; VIA PARENTERAL ; SOLUCION PARA PERFUSION","DOPEXAMINA CLORHIDRATO 50 mg/5 ml solución para perfusión"
"1929","dipivefrina clorhidrato * 0,1 % ; vía oftálmica ; colirio en solución","53","DIPIVEFRINA CLORHIDRATO * 0,1 % ; VIA OFTALMICA ; COLIRIO EN SOLUCION","DIPIVEFRINA CLORHIDRATO 0,1 % colirio en solución"
"1930","lidocaína * 700 mg ; uso cutáneo ; parche medicamentoso","1834","LIDOCAINA * 700 MG ; USO CUTANEO ; PARCHE MEDICAMENTOSO","LIDOCAINA 700 mg parche medicamentoso"
"1931","hidroxizina clorhidrato * 100 mg ; vía oral ; comprimido","59","HIDROXIZINA CLORHIDRATO * 100 MG ; VIA ORAL ; COMPRIMIDO","HIDROXIZINA CLORHIDRATO 100 mg comprimido"
"1933","oxazepam * 50 mg ; vía oral ; comprimido","59","OXAZEPAM * 50 MG ; VIA ORAL ; COMPRIMIDO","OXAZEPAM 50 mg comprimido"
"1934","metilprednisolona (hemisuccinato) * 120 mg/2 ml ; vía parenteral ; polvo y disolvente para solución inyectable","369","METILPREDNISOLONA (HEMISUCCINATO) * 120 MG/2 ML ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","METILPREDNISOLONA (hemisuccinato) 120 mg/2 ml polvo y disolvente para solución inyectable"
"1935","lidocaína clorhidrato * 2 % ; vía parenteral ; solución inyectable","476","LIDOCAINA CLORHIDRATO * 2 % ; VIA PARENTERAL ; SOLUCION INYECTABLE","LIDOCAINA CLORHIDRATO 2 % solución inyectable"
"1936","tramadol clorhidrato * 50 mg ; vía oral ; cápsula dura de liberación prolongada 12H","1748","TRAMADOL CLORHIDRATO * 50 MG ; VIA ORAL ; CAPSULA DURA DE LIBERACION PROLONGADA 12H","TRAMADOL CLORHIDRATO 50 mg cápsula dura de liberación prolongada 12H"
"1937","hialuronato sódico * 8,5 mg ; vía intraocular ; solución inyectable intraocular","515","HIALURONATO SODICO * 8,5 MG ; VIA INTRAOCULAR ; SOLUCION INYECTABLE INTRAOCULAR","HIALURONATO SODICO 8,5 mg solución inyectable intraocular"
"1938","peróxido de hidrógeno * 3 % ; uso cutáneo ; solución cutánea","493","PEROXIDO DE HIDROGENO * 3 % ; USO CUTANEO ; SOLUCION CUTANEA","PEROXIDO DE HIDROGENO 3 % solución cutánea"
"1939","carbimazol * 5 mg ; vía oral ; comprimido","59","CARBIMAZOL * 5 MG ; VIA ORAL ; COMPRIMIDO","CARBIMAZOL 5 mg comprimido"
"1940","felbamato * 600 mg ; vía oral ; comprimido","59","FELBAMATO * 600 MG ; VIA ORAL ; COMPRIMIDO","FELBAMATO 600 mg comprimido"
"1941","diclofenaco sódico * 100 mg ; vía oral ; comprimido de liberación prolongada","72","DICLOFENACO SODICO * 100 MG ; VIA ORAL ; COMPRIMIDO DE LIBERACION PROLONGADA","DICLOFENACO SODICO 100 mg comprimido de liberación prolongada"
"1942","clobetasol propionato * 0,05 % ; uso cutáneo ; crema","146","CLOBETASOL PROPIONATO * 0,05 % ; USO CUTANEO ; CREMA","CLOBETASOL PROPIONATO 0,05 % crema"
"1943","pentoxifilina * 400 mg ; vía oral ; comprimido de liberación prolongada","72","PENTOXIFILINA * 400 MG ; VIA ORAL ; COMPRIMIDO DE LIBERACION PROLONGADA","PENTOXIFILINA 400 mg comprimido de liberación prolongada"
"1944","naproxeno * 250 mg ; vía oral ; comprimido","59","NAPROXENO * 250 MG ; VIA ORAL ; COMPRIMIDO","NAPROXENO 250 mg comprimido"
"1945","glicina * 190 mg + magnesio (actato) * 50 mg ; vía oral ; comprimido","59","GLICINA * 190 MG + MAGNESIO (ACTATO) * 50 MG ; VIA ORAL ; COMPRIMIDO","GLICINA 190 mg + MAGNESIO (actato) 50 mg comprimido"
"1946","citicolina (sódica) * 500 mg/4 ml ; vía parenteral ; solución inyectable","476","CITICOLINA (SODICA) * 500 MG/4 ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","CITICOLINA (sódica) 500 mg/4 ml solución inyectable"
"1947","cianocobalamina * 1 mg/1 ml ; vía parenteral ; solución inyectable","476","CIANOCOBALAMINA * 1 MG/1 ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","CIANOCOBALAMINA 1 mg/1 ml solución inyectable"
"1948","ácido gadobénico (meglumina) * 0,5 mmol/ml ; vía parenteral ; solución inyectable","476","ACIDO GADOBENICO (MEGLUMINA) * 0,5 MMOL/ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","ACIDO GADOBENICO (meglumina) 0,5 mmol/ml solución inyectable"
"1949","dihexiverina hidrocloruro * 50 mg ; vía rectal ; supositorio","555","DIHEXIVERINA HIDROCLORURO * 50 MG ; VIA RECTAL ; SUPOSITORIO","DIHEXIVERINA HIDROCLORURO 50 mg supositorio"
"1950","dihidroergotamina mesilato * 5 mg ; vía oral ; liofilizado oral","278","DIHIDROERGOTAMINA MESILATO * 5 MG ; VIA ORAL ; LIOFILIZADO ORAL","DIHIDROERGOTAMINA MESILATO 5 mg liofilizado oral"
"1951","desirudina * 15 mg/0,5 ml ; vía parenteral ; polvo y disolvente para solución inyectable","369","DESIRUDINA * 15 MG/0,5 ML ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","DESIRUDINA 15 mg/0,5 ml polvo y disolvente para solución inyectable"
"1952","lidocaína clorhidrato * 5 % + nafazolina nitrato * 0,02 % ; vía bucal + uso cutáneo + uso dental ; solución para uso local","495","LIDOCAINA CLORHIDRATO * 5 % + NAFAZOLINA NITRATO * 0,02 % ; VIA BUCAL + USO CUTANEO + USO DENTAL ; SOLUCION PARA USO LOCAL","LIDOCAINA CLORHIDRATO 5 % + NAFAZOLINA NITRATO 0,02 % solución para uso local"
"1953","efalizumab * 100 mg/ml ; vía parenteral ; polvo y disolvente para solución inyectable","369","EFALIZUMAB * 100 MG/ML ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","EFALIZUMAB 100 mg/ml polvo y disolvente para solución inyectable"
"1954","didanosina * 150 mg ; vía oral ; comprimido masticable y dispersable","1714","DIDANOSINA * 150 MG ; VIA ORAL ; COMPRIMIDO MASTICABLE Y DISPERSABLE","DIDANOSINA 150 mg comprimido masticable y dispersable"
"1955","trimipramina (maleato) * 100 mg ; vía oral ; comprimido","59","TRIMIPRAMINA (MALEATO) * 100 MG ; VIA ORAL ; COMPRIMIDO","TRIMIPRAMINA (maleato) 100 mg comprimido"
"1956","midazolam * 1 mg/ml ; vía parenteral + vía rectal ; solución inyectable y rectal","1985","MIDAZOLAM * 1 MG/ML ; VIA PARENTERAL + VIA RECTAL ; SOLUCION INYECTABLE Y RECTAL","MIDAZOLAM 1 mg/ml solución inyectable y rectal"
"1957","magnesio hidróxido * 100 g ; vía oral ; polvo para suspensión oral","422","MAGNESIO HIDROXIDO * 100 G ; VIA ORAL ; POLVO PARA SUSPENSION ORAL","MAGNESIO HIDROXIDO 100 g polvo para suspensión oral"
"1958","calcitonina humana * 0,5 mg/ml ; vía parenteral ; polvo y disolvente para solución inyectable","369","CALCITONINA HUMANA * 0,5 MG/ML ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","CALCITONINA HUMANA 0,5 mg/ml polvo y disolvente para solución inyectable"
"1959","gadopentetato de dimeglumina * 0,469 g/ml ; vía parenteral ; solución inyectable","476","GADOPENTETATO DE DIMEGLUMINA * 0,469 G/ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","GADOPENTETATO DE DIMEGLUMINA 0,469 g/ml solución inyectable"
"1960","ácido acetilsalicílico * 500 mg + cafeína * 50 mg ; vía oral ; comprimido","59","ACIDO ACETILSALICILICO * 500 MG + CAFEINA * 50 MG ; VIA ORAL ; COMPRIMIDO","ACIDO ACETILSALICILICO 500 mg + CAFEINA 50 mg comprimido"
"1961","acido folínico (cálcico) * 5 mg ; vía oral ; cápsula dura","219","ACIDO FOLINICO (CALCICO) * 5 MG ; VIA ORAL ; CAPSULA DURA","ACIDO FOLINICO (cálcico) 5 mg cápsula dura"
"1962","caspofungina (acetato) * 70 mg ; vía parenteral ; polvo para concentrado para solución para perfusión","1219","CASPOFUNGINA (ACETATO) * 70 MG ; VIA PARENTERAL ; POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION","CASPOFUNGINA (acetato) 70 mg polvo para concentrado para solución para perfusión"
"1963","bisoprolol fumarato * 3,75 mg ; vía oral ; comprimido","59","BISOPROLOL FUMARATO * 3,75 MG ; VIA ORAL ; COMPRIMIDO","BISOPROLOL FUMARATO 3,75 mg comprimido"
"1964","aceite de soja * 30 % ; vía parenteral ; emulsión para perfusión","183","ACEITE DE SOJA * 30 % ; VIA PARENTERAL ; EMULSION PARA PERFUSION","ACEITE DE SOJA 30 % emulsión para perfusión"
"1965","midodrina clorhidrato * 2,5 mg/ml ; vía parenteral ; solución inyectable","476","MIDODRINA CLORHIDRATO * 2,5 MG/ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","MIDODRINA CLORHIDRATO 2,5 mg/ml solución inyectable"
"1966","caolín pesado * 7,7 g + magnesio hidróxido * 1,1 g ; vía oral ; polvo para suspensión oral en sobre","1812","CAOLIN PESADO * 7,7 G + MAGNESIO HIDROXIDO * 1,1 G ; VIA ORAL ; POLVO PARA SUSPENSION ORAL EN SOBRE","CAOLIN PESADO 7,7 g + MAGNESIO HIDROXIDO 1,1 g polvo para suspensión oral en sobre"
"1967","acetilcisteína * 2 % ; vía oral ; polvo para suspensión oral","422","ACETILCISTEINA * 2 % ; VIA ORAL ; POLVO PARA SUSPENSION ORAL","ACETILCISTEINA 2 % polvo para suspensión oral"
"1968","acetilcisteína * 2,5 % ; vía oral ; polvo para jarabe","406","ACETILCISTEINA * 2,5 % ; VIA ORAL ; POLVO PARA JARABE","ACETILCISTEINA 2,5 % polvo para jarabe"
"1969","nitroglicerina * 0,15 mg ; vía sublingual  ; comprimido sublingual","141","NITROGLICERINA * 0,15 MG ; VIA SUBLINGUAL  ; COMPRIMIDO SUBLINGUAL","NITROGLICERINA 0,15 mg comprimido sublingual"
"1970","ácido clavulanico (potásico) * 125 mg + amoxicilina * 1 g ; vía oral ; polvo para suspensión oral en sobre","1812","ACIDO CLAVULANICO (POTASICO) * 125 MG + AMOXICILINA * 1 G ; VIA ORAL ; POLVO PARA SUSPENSION ORAL EN SOBRE","ACIDO CLAVULANICO (potásico) 125 mg + AMOXICILINA 1 g polvo para suspensión oral en sobre"
"1971","benzalconio cloruro * 54 mg ; vía vaginal ; crema vaginal","154","BENZALCONIO CLORURO * 54 MG ; VIA VAGINAL ; CREMA VAGINAL","BENZALCONIO CLORURO 54 mg crema vaginal"
"1972","atorvastatina (cálcica) * 10 mg ; vía oral ; comprimido","59","ATORVASTATINA (CALCICA) * 10 MG ; VIA ORAL ; COMPRIMIDO","ATORVASTATINA (cálcica) 10 mg comprimido"
"1974","eritromicina * 2,09 % ; uso cutáneo ; solución cutánea","493","ERITROMICINA * 2,09 % ; USO CUTANEO ; SOLUCION CUTANEA","ERITROMICINA 2,09 % solución cutánea"
"1976","dodeclonio bromuro * 0,1 % + enoxolona * 1,5 % ; uso cutáneo ; crema","146","DODECLONIO BROMURO * 0,1 % + ENOXOLONA * 1,5 % ; USO CUTANEO ; CREMA","DODECLONIO BROMURO 0,1 % + ENOXOLONA 1,5 % crema"
"1977","esencia de niaouli * 75 mg ; vía rectal ; supositorio","555","ESENCIA DE NIAOULI * 75 MG ; VIA RECTAL ; SUPOSITORIO","ESENCIA DE NIAOULI 75 mg supositorio"
"1978","formoterol fumarato * 12 µg ; vía inhalatoria ; polvo para inhalación en cápsula dura","399","FORMOTEROL FUMARATO * 12 µG ; VIA INHALATORIA ; POLVO PARA INHALACION EN CAPSULA DURA","FORMOTEROL FUMARATO 12 µg polvo para inhalación en cápsula dura"
"1979","fludarabina fosfato * 10 mg ; vía oral ; comprimido","59","FLUDARABINA FOSFATO * 10 MG ; VIA ORAL ; COMPRIMIDO","FLUDARABINA FOSFATO 10 mg comprimido"
"1980","mupirocina * 2 % ; uso cutáneo ; pomada","330","MUPIROCINA * 2 % ; USO CUTANEO ; POMADA","MUPIROCINA 2 % pomada"
"1981","mercaptamina (bitartrato) * 50 mg ; vía oral ; cápsula dura","219","MERCAPTAMINA (BITARTRATO) * 50 MG ; VIA ORAL ; CAPSULA DURA","MERCAPTAMINA (bitartrato) 50 mg cápsula dura"
"1982","glimepirida * 1 mg ; vía oral ; comprimido","59","GLIMEPIRIDA * 1 MG ; VIA ORAL ; COMPRIMIDO","GLIMEPIRIDA 1 mg comprimido"
"1983","acarbosa * 50 mg ; vía oral ; comprimido","59","ACARBOSA * 50 MG ; VIA ORAL ; COMPRIMIDO","ACARBOSA 50 mg comprimido"
"1984","verapamilo clorhidrato * 40 mg ; vía oral ; comprimido","59","VERAPAMILO CLORHIDRATO * 40 MG ; VIA ORAL ; COMPRIMIDO","VERAPAMILO CLORHIDRATO 40 mg comprimido"
"1985","piridoxina clorhidrato * 50 mg + tiamina nitrato * 250 mg ; vía oral ; comprimido","59","PIRIDOXINA CLORHIDRATO * 50 MG + TIAMINA NITRATO * 250 MG ; VIA ORAL ; COMPRIMIDO","PIRIDOXINA CLORHIDRATO 50 mg + TIAMINA NITRATO 250 mg comprimido"
"1986","benzododecinio bromuro * 0,025 % ; vía oftálmica ; colirio en solución","53","BENZODODECINIO BROMURO * 0,025 % ; VIA OFTALMICA ; COLIRIO EN SOLUCION","BENZODODECINIO BROMURO 0,025 % colirio en solución"
"1987","fentanilo (citrato) * 200 µg ; vía bucal ; Comprimido con dispositivo para aplicación bucal","850","FENTANILO (CITRATO) * 200 µG ; VIA BUCAL ; COMPRIMIDO CON DISPOSITIVO PARA APLICACION BUCAL","FENTANILO (citrato) 200 µg Comprimido con dispositivo para aplicación bucal"
"1988","benzalconio cloruro * 0,3 mg/ml + lidocaína clorhidrato * 3 mg/ml ; vía bucal ; solución para pulverización bucal","537","BENZALCONIO CLORURO * 0,3 MG/ML + LIDOCAINA CLORHIDRATO * 3 MG/ML ; VIA BUCAL ; SOLUCION PARA PULVERIZACION BUCAL","BENZALCONIO CLORURO 0,3 mg/ml + LIDOCAINA CLORHIDRATO 3 mg/ml solución para pulverización bucal"
"1989","benzododecinio bromuro * 0,004 % + polisorbato 80 * 0,2 % ; vía nasal ; gotas nasales en solución","1817","BENZODODECINIO BROMURO * 0,004 % + POLISORBATO 80 * 0,2 % ; VIA NASAL ; GOTAS NASALES EN SOLUCION","BENZODODECINIO BROMURO 0,004 % + POLISORBATO [80] 0,2 % gotas nasales en solución"
"1990","olanzapina * 10 mg ; vía oral ; comprimido","59","OLANZAPINA * 10 MG ; VIA ORAL ; COMPRIMIDO","OLANZAPINA 10 mg comprimido"
