"sideeffectid","name"
"10293","Hipogonadismo masculino"
"10303","Hipocinesia"
"10313","Hipomenorrea"
"10314","Candidiasis vulvovaginal"
"10323","Hiponatremia deplecional"
"10363","Hipopituitarismo"
"10373","Hipoplasia del esmalte dental"
"10383","Hiporreflexia osteotendinosa"
"10393","Hiposecreción bronquial"
"10413","Hiposecreción nasal"
"10423","Hipostenuria"
"10443","Hipotensión arterial transitoria"
"10463","Hipotermia"
"10483","Hipotonía muscular"
"10493","Presión ocular (disminución)"
"10503","Hipotrigliceridemia"
"10513","Hipoxia"
"10533","Ictiosis"
"10534","Rectocolitis hemorrágica"
"10553","Ictericia colestásica"
"10561","Convulsiones"
"10564","Estreñimiento"
"10573","Ictericia grave"
"10583","Ictericia neonatal"
"10593","Ictericia nuclear"
"10603","Idiosincrasia"
"10613","Ileitis"
"10643","Inmunoglobulina M (aumento)"
"10653","Inmunoglobulina monoclonal"
"10661","Prolongación del tiempo de hemorragia"
"10683","Síndrome de las piernas inquietas"
"10693","Incapacidad"
"10703","Incontinencia fecal"
"10713","Incontinencia urinaria"
"10723","Indiferencia"
"10733","Induración en el punto de inyección"
"10753","Infarto de miocardio (empeoramiento)"
"10763","Infarto medular"
"10772","Tos productiva"
"10773","Infarto mesentérico"
"10783","Infarto renal"
"10803","Infección por citomegalovirus"
"10823","Infección por micobacteria"
"10831","Depresión del sistema nervioso central"
"10833","Infección bacteriana (empeoramiento)"
"10853","Infección local"
"10893","Infección vírica (empeoramiento)"
"10903","Infiltrado pulmonar"
"10931","Dermatosis alérgica"
"10934","Infección cutánea"
"10943","Inflamación tras extravasación"
"10963","Inflamación ocular"
"10983","Encharcamiento de los bronquios"
"11013","Insomnio (aumento)"
"11023","Inestabilidad"
"11043","Inestabilidad tensional"
"11044","Urticaria"
"11073","Insuficiencia cardíaca crónica"
"11093","Insuficiencia cardíaca (empeoramiento)"
"11103","Insuficiencia circulatoria"
"11113","Insuficiencia circulatoria cerebral"
"11121","Bradicardia sinusal"
"11133","Insuficiencia coronaria (empeoramiento)"
"11153","Insuficiencia hepática aguda"
"11163","Insuficiencia hepática (empeoramiento)"
"11183","Insuficiencia hipofisosuprarrenal"
"11203","Insuficiencia ovárica"
"11211","Fístula arteriovenosa"
"11213","Insuficiencia renal"
"11243","Insuficiencia renal funcional"
"11253","Insuficiencia renal (empeoramiento)"
"11293","Insuficiencia suprarrenal aguda"
"11303","Insuficiencia suprarrenal (empeoramiento)"
"11313","Insuficiencia venosa"
"11323","Insuficiencia venosa (empeoramiento)"
"11333","Insuficiencia ventricular izquierda (empeoramiento)"
"11353","Intolerancia a las lentillas de contacto"
"11363","Intolerancia cutánea"
"11373","Intolerancia digestiva"
"11383","Intolerancia gástrica"
"11393","Intolerancia local"
"11403","Intolerancia rectal"
"11404","Dishidrosis"
"11413","Intoxicación por aluminio"
"11463","Intoxicación por cianuro"
"11553","Irritación cutánea"
"11563","Irritación digestiva"
"11573","Irritación del meato uretral"
"11613","Irritación local"
"11633","Irritación mucosa"
"11643","Irritación nasal"
"11644","Embolia pulmonar"
"11653","Irritación ocular"
"11663","Irritación perianal"
"11673","Irritación faríngea"
"11681","Endocarditis bacteriana"
"11693","Irritación vaginal"
"11694","Endometriosis"
"11703","Irritación vesical"
"11713","Isquemia de las extremidades"
"11723","Isquemia miocárdica"
"11733","Isquemia retiniana"
"11753","Pierna pesada"
"11771","Trombosis"
"11803","Queratitis punteada"
"11813","Queratoconjuntivitis"
"11833","Queratopatía"
"11843","Mastopatía fibroquística"
"11853","Quiste ovárico"
"11883","Lengua pastosa"
"11893","Hipersecreción lagrimal"
"11903","Laringitis"
"11913","Laringoespasmo"
"11914","Eritrasma"
"11923","LDH (aumento)"
"11953","Lesión cutánea"
"11963","Lesión mucocutánea"
"11983","Letargia"
"12003","Leucemia aguda"
"12013","Leucemia aguda linfoblástica"
"12023","Leucemia aguda mieloblástica"
"12031","Hipoacusia"
"12053","Leucemia promielocítica aguda"
"12063","Leucocitosis"
"12073","Leucoencefalopatía"
"12083","Leucoencefalopatía necrosante"
"12093","Leucomelanodermia"
"12094","Fisura anal"
"12113","Leucorrea"
"12123","Levantamiento de la inhibición psicomotriz"
"12133","Libido (aumento)"
"12143","Libido (disminución)"
"12173","Lipidemia (modificación)"
"12183","Lipodistrofia"
"12193","Lipoma"
"12213","Líquido cefalorraquídeo (anomalía)"
"12273","Litiasis xantínica"
"12283","Livedo reticular"
"12293","Logorrea"
"12303","Lucitis"
"12313","Lupus eritematoso agudo diseminado (empeoramiento)"
"12323","Linfadenitis"
"12333","Linfadenopatía"
"12343","Linfangitis"
"12353","Linfocitosis"
"12363","Linfoma digestivo"
"12393","Linfocitopenia"
"12403","Macrocitosis"
"12404","Carencia de vitamina K"
"12423","Maculopatía"
"12473","Malabsorción de la vitamina B12"
"12493","Malabsorción de las vitaminas liposolubles"
"12543","Enfermedad de Crohn"
"12553","Enfermedad de Crohn (empeoramiento)"
"12554","Herpes labial"
"12563","Enfermedad de Dupuytren"
"12613","Enfermedad de La Peyronie"
"12623","Enfermedad de Parkinson (empeoramiento)"
"12633","Enfermedad de Von Willebrand"
"12634","Hipercorticalismo"
"12643","Enfermedad de los laxantes"
"12663","Enfermedad sérica"
"12683","Enfermedad venooclusiva hepática"
"12703","Malestar"
"12734","Hipertiroidismo"
"12753","Megacolon"
"12783","Melanosis rectocólica"
"12793","Melena"
"12801","Neutropenia"
"12823","Meningitis aséptica"
"12833","Meningoencefalitis"
"12834","Hipotiroidismo"
"12883","Metabolismo del amoniaco (perturbación)"
"12914","Impétigo"
"12943","Microangiopatía trombótica"
"12953","Micropsia"
"12973","Micción dolorosa"
"12983","Micción imperiosa"
"12993","Micción frecuente"
"13013","Migraña (empeoramiento)"
"13043","Reglas (modificación)"
"13044","Infección urinaria"
"13083","Campo visual (modificación)"
"13093","Monocitosis"
"13101","Pólipo uterino"
"13103","Muerte fetal"
"13113","Muerte súbita"
"13133","Fallecimiento"
"13153","Movimiento anómalo"
"13163","Movimiento coreico"
"13173","Movimiento coreoatetósico"
"13183","Mucormicosis"
"13203","Mutismo"
"13233","Miastenia (empeoramiento)"
"13243","Micosis cutánea"
"13263","Micosis vulvovaginal"
"13273","Micosis (difusión)"
"13283","Midriasis"
"13293","Mielitis"
"13303","Mielitis transversa"
"13323","Mielofibrosis"
"13334","Intertrigo dermatofítico de los dedos de los pies"
"13363","Miocarditis"
"13373","Mioclonía"
"13383","Mioglobinuria"
"13403","Miopatía aguda"
"13411","Infección parasitaria"
"13413","Miopatía cortisónica"
"13423","Miopatía proximal"
"13433","Miopía"
"13443","Miosis"
"13453","Miositis"
"13461","Malabsorción digestiva"
"13463","Miotonía"
"13482","Cáncer de esófago"
"13483","Nevus melanocitario"
"13523","Natriuria (aumento)"
"13543","Náuseas"
"13583","Necrosis cutánea"
"13593","Necrosis lingual"
"13603","Necrosis hipofisaria"
"13604","Lupus eritematoso discoide"
"13623","Necrosis muscular"
"13643","Necrosis papilar renal"
"13663","Necrosis tisular post-extravasación"
"13673","Necrosis tubular aguda"
"13703","Nefropatía aguda"
"13723","Nefropatía intersticial"
"13733","Nefropatía intersticial aguda"
"13741","Broncoespasmo"
"13743","Nefropatía intersticial crónica"
"13753","Nefropatía tubular"
"13763","Nefropatía tubular aguda"
"13771","Herida abierta"
"13773","Nefropatía tubulointersticial aguda"
"13783","Nefropatía tubulointersticial crónica"
"13784","Mastopatía benigna"
"13803","Nerviosismo"
"13813","Neuromiopatía"
"13833","Neuropatía óptica"
"13853","Neuropatía periférica sensitiva"
"13873","Neuropatía vegetativa"
"13904","Meteorismo"
"13913","Neuralgia facial"
"13933","Neuritis óptica retrobulbar"
"13943","Nódulo en el punto de inyección"
"13953","Nódulo subcutáneo"
"13963","Nistagmo"
"13983","Obnubilación"
"13993","Obstrucción nasal"
"14003","Obstrucción esofágica"
"14013","Obstrucción de las vías urinarias excretoras (empeoramiento)"
"14033","Olor de la orina"
"14043","Sensación de olor desagradable"
"14053","Edema"
"14093","Edema corneal"
"14094","Trombosis arterial"
"14103","Edema facial"
"14113","Edema de las extremidades inferiores"
"14123","Edema palpebral"
"14133","Edema labial"
"14143","Edema laríngeo"
"14153","Edema lingual"
"14163","Edema en el punto de inyección"
"14173","Edema macular"
"14181","Micosis"
"14183","Edema nasal"
"14191","Micosis pulmonar"
"14193","Edema papilar"
"14203","Edema periorbitario"
"14213","Edema periférico"
"14233","Edema vulvar"
"14234","Onicomicosis"
"14243","Enrojecimiento ocular"
"14253","Esofagitis"
"14283","Oligoastenospermia"
"14293","Oligohidramnios"
"14303","Oligomenorrea"
"14313","Oligospermia"
"14323","Oliguria"
"14343","Onicolisis"
"14353","Onixis"
"14373","Opacidad corneal"
"14383","Opistotonos"
"14413","Osificación prematura"
"14433","Osteonecrosis aséptica"
"14443","Osteopatía"
"14473","Osteosis condensante"
"14483","Otalgia"
"14491","Accidente tromboembólico"
"14493","Otitis"
"14503","Ovario poliquístico"
"14512","Hepatitis C"
"14513","Ovulación (cesación)"
"14533","Palidez"
"14543","Palidez de las extremidades"
"14553","Palidez periorbitaria"
"14563","Palilalia"
"14573","Palpitación"
"14584","Pitiriasis capitis"
"14594","Pitiriasis versicolor"
"14613","Pancreatitis hemorrágica"
"14623","Paniculitis"
"14633","Erupción papulosa"
"14653","Parálisis de acomodación"
"14673","Parálisis facial"
"14683","Parálisis oculomotora"
"14703","Parálisis respiratoria"
"14713","Variables biológicas (anomalía)"
"14723","Paraplejia"
"14743","Parestesia"
"14753","Parestesia de las extremidades"
"14763","Parestesia facial"
"14773","Parestesia peribucal"
"14783","Parotiditis"
"14793","Parotiditis supurante"
"14833","Peliosis hepática"
"14843","Pelagra"
"14863","Perforación colónica"
"14873","Perforación digestiva"
"14883","Perforación del tabique nasal"
"14943","Perionixis"
"14963","Permeabilidad vascular (aumento)"
"14973","Pérdida del conocimiento"
"14993","Pesadez epigástrica"
"15003","Petequia"
"15023","Faringitis"
"15033","Pénfigo vulgar"
"15043","Fenómeno de Arthus"
"15053","Fenómeno de Koebner"
"15063","Fenómeno de aumento de un síntoma"
"15073","Flebitis"
"15074","Prurigo"
"15083","Flebitis en el punto de inyección"
"15093","Flictena"
"15103","Fobia"
"15113","Fosfatasas ácidas (aumento)"
"15123","Fosfatasas alcalinas (aumento)"
"15133","Fosfatasas alcalinas (disminución)"
"15143","Fosfaturia (aumento)"
"15163","Fosfeno"
"15213","Fotofobia"
"15223","Fotosensibilización"
"15243","Picor"
"15244","Psoriasis"
"15253","Hormigueo ocular"
"15283","Plasmocitosis"
"15293","Pleuresía"
"15314","Pubertad precoz"
"15333","Neumopatía por eosinófilos"
"15403","Peso (aumento)"
"15413","Peso (disminución)"
"15423","Polaquiuria"
"15453","Poliglobulia"
"15473","Polineuritis"
"15483","Polinucleosis"
"15493","Polinucleosis neutrófila"
"15503","Polipnea"
"15513","Pólipos gástricos"
"15523","Polirradiculoneuritis"
"15533","Poliserositis"
"15543","Poliuria"
"15573","Porfiria aguda intermitente (empeoramiento)"
"15603","Porfiria cutánea (empeoramiento)"
"15613","Porfiria (empeoramiento)"
"15623","Pseudoporfiria"
"15643","Pulsos (modificación)"
"15653","PR (prolongación)"
"15673","Presión biliar (aumento)"
"15681","Hipersecreción bronquial"
"15683","Presión intragástrica (aumento)"
"15693","Priapismo"
"15733","Prolactinemia (disminución)"
"15743","Prolongación del sueño anestésico"
"15753","Postración"
"15773","Protrusión de la lengua"
"15793","Prurito anal"
"15802","Infección ocular"
"15803","Prurito anogenital"
"15813","Prurito en el punto de inyección"
"15823","Prurito de la lengua"
"15833","Prurito vulvar"
"15843","Prurito (empeoramiento)"
"15853","Pseudobstrucción intestinal"
"15863","Pseudolinfoma"
"15893","Psoriasis (empeoramiento)"
"15933","Psicosis (empeoramiento)"
"15941","Atonía vesical"
"15943","Ptosis"
"15973","Púrpura equimótica"
"15983","Púrpura reumatoide"
"16003","Púrpura vascular"
"16013","Pustulosis exantematosa aguda generalizada"
"16023","Pioderma grangrenoso"
"16033","Pirosis"
"16043","QRS (prolongación)"
"16073","Radiosensibilización"
"16083","Rigidez de la nuca"
"16093","Ralentización psicomotora"
"16111","Hepatopatía aguda"
"16131","Mucitis"
"16133","Ronquera de la voz"
"16141","Insuficiencia medular"
"16143","Hipersensibilidad"
"16153","Reacción alérgica bronquial"
"16171","Hipertensión renovascular"
"16173","Reacción alérgica general"
"16183","Reacción alérgica local"
"16191","Alucinación visual"
"16193","Reacción anafiláctica"
"16203","Reacción articular"
"16213","Reacción en el punto de inyección"
"16232","Hepatitis B"
"16253","Reacción de Herxheimer"
"16281","Candidiasis vaginal"
"16283","Reacción injerto contra huésped"
"16301","Accidente tromboembólico venoso"
"16313","Reacción general"
"16333","Reacción hiperemiante"
"16343","Reacción inflamatoria tras infiltración"
"16383","Reacción paradójica"
"16393","Reacción paranoide"
"16403","Episodio psicótico"
"16423","Reacción vasomotora"
"16453","Recrudecimiento de los síntomas"
"16473","Rectitis congestiva"
"16523","Reflujo gastroesofágico"
"16533","Refracción (modificación)"
"16543","Enfriamiento de las extremidades"
"16553","Regurgitación"
"16563","Rechazo del trasplante"
"16593","Resistencia a la insulina"
"16611","Diabetes no insulinodependiente"
"16613","Resistencia a las infecciones (disminución)"
"16633","Retraso en la cicatrización"
"16643","Retraso en el crecimiento"
"16663","Retraso psicomotor"
"16673","Retención urinaria aguda"
"16703","Retención placentaria"
"16714","Verruga"
"16723","Reticulopenia"
"16743","Retinitis pigmentaria"
"16793","Despertar difícil"
"16803","Rabdomiolisis"
"16813","Grietas"
"16823","Rinitis"
"16833","Rinorrea"
"16841","Hepatitis"
"16853","Rigidez muscular"
"16893","Eritema facial"
"16913","Rubefacción"
"16923","Ruptura uterina"
"16933","Ruptura esplénica"
"16943","Ruptura de tendón"
"16953","Ritmo cardíaco fetal (modificación)"
"16963","Arritmia nodal"
"16993","Sarcoidosis"
"17003","Sarcoma de Kaposi"
"17033","Esclerodermia localizada"
"17054","Eyaculación retrógrada"
"17063","Esclerosis múltiple, (empeoramiento)"
"17074","Encefalopatía hipertensiva"
"17083","Escotoma"
"17093","Escotoma centelleante"
"17103","Seborrea"
"17113","Hiposecreción lagrimal"
"17143","Sequedad mucosa"
"17153","Sequedad vaginal"
"17163","Secreción de la mucosidad cervicouterina (aumento)"
"17173","Secreción de la mucosidad cervicouterina (disminución)"
"17193","Secreción insuficiente de corticotropina"
"17203","Secreciones digestivas (disminución)"
"17213","Sedación"
"17223","Selección de cepa resistente"
"17233","Heces líquidas"
"17243","Heces blandas"
"17251","Herpes bucal"
"17253","Heces semilíquidas"
"17263","Sensación de opresión torácica"
"17273","Sensación de flatulencia"
"17283","Sensación de quemazón"
"17293","Sensación de quemazón anal"
"17303","Sensación de quemazón bucal"
"17313","Sensación de quemazón cutánea"
"17323","Sensación de quemazón nasal"
"17333","Sensación de quemazón ocular"
"17343","Sensación de quemazón traqueal"
"17353","Sensación de calor"
"17373","Sensación de frío"
"17393","Sensación de pinchazo corneal"
"17403","Sensación de plenitud gástrica"
"17413","Sensación de cabeza vacía"
"17423","Sensación de vértigo"
"17433","Sensibilización"
"17453","Sensibilidad mamaria"
"17473","Umbral epileptógeno (disminución)"
"17483","ASAT (aumento)"
"17493","ALAT (aumento)"
"17503","Sialorrea"
"17523","Signo de Lhermitte"
"17533","Sinusitis"
"17562","Hipercapnia"
"17563","Sonambulismo"
"17573","Somnolencia"
"17583","Espaniomenorrea"
"17593","Espasmo venoso"
"17603","Espasmo abdominal"
"17613","Espasmo arterial"
"17623","Espasmo ciliar"
"17633","Espasmo coronario"
"17643","Espasmo de la acomodación"
"17653","Espasmo de las vías biliares"
"17663","Espasmo del esfínter de Oddi"
"17673","Espasmo facial"
"17683","Espasmo muscular"
"17693","Espasmo retiniano"
"17703","Espermograma (anomalía)"
"17712","Citopenia"
"17713","Esplenomegalia"
"17721","Hipomagnesemia"
"17733","Oligometrorragia"
"17743","Esteatorrea"
"17753","Esteatosis hepática"
"17773","Estenosis anorrectal"
"17783","Estenosis del intestino delgado"
"17793","Estenosis del esófago"
"17803","Estenosis del colon"
"17804","Litiasis cistínica"
"17813","Estenosis del píloro"
"17823","Esterilidad"
"17833","Esterilidad masculina"
"17834","Litiasis oxálica"
"17853","Estupor"
"17854","Litiasis úrica"
"17863","Suboclusión"
"17873","Sudor frío"
"17883","Sufusión conjuntival"
"17893","Supuración anal"
"17903","Sulfohemoglobinemia"
"17923","Sobrecarga de yodo"
"17933","Sordera"
"17941","Tumor hepático"
"17943","Sobreinfección"
"17953","Síncope"
"17963","Síndrome acinético sin hipertonía"
"17973","Síndrome acinetohipertónico"
"17983","Síndrome cerebeloso"
"18001","Cáncer de cuello de útero"
"18003","Síndrome colinérgico"
"18013","Síndrome cushingoide"
"18023","Síndrome de Adams-Stokes"
"18033","Síndrome de eosinofilia-mialgias"
"18043","Eritrodisestesia palmoplantar"
"18053","Síndrome de Evans"
"18093","Síndrome de Budd-Chiari"
"18103","Síndrome de Churg y Strauss"
"18113","Síndrome de Claude Bernard-Horner"
"18123","Síndrome de Cushing"
"18133","Síndrome de Fanconi"
"18143","Síndrome de Gilles de la Tourette"
"18163","Síndrome de Goodpasture"
"18183","Síndrome de Hoigne"
"18193","Síndrome de activación leucocitaria"
"18203","Síndrome del hombre rojo"
"18213","Síndrome de la cola de caballo"
"18233","Síndrome de Loeffler"
"18243","Síndrome de Lyell"
"18253","Síndrome de lisis tumoral"
"18273","Síndrome de Raynaud"
"18283","Síndrome de Reye"
"18293","Síndrome de abstinencia"
"18303","Síndrome de Gougerot-Sjögren"
"18313","Síndrome de Stevens-Johnson"
"18323","Síndrome de Sweet"
"18343","Síndrome del túnel carpiano"
"18363","Síndrome hombro-mano"
"18373","Síndrome extrapiramidal"
"18383","Síndrome extrapiramidal de los neurolépticos"
"18393","Síndrome gris"
"18403","Síndrome hemorrágico"
"18413","Síndrome lúpico"
"18423","Síndrome linfoproliferativo"
"18433","Síndrome maligno de los neurolépticos"
"18443","Síndrome meníngeo"
"18451","Hipofibrinogenemia"
"18453","Síndrome mononucleósico"
"18463","Síndrome miasténico"
"18483","Síndrome nefrótico"
"18491","Miopatía"
"18513","Síndrome parkinsoniano"
"18521","Vasoespasmo coronario"
"18523","Trastorno prostático"
"18543","Síndrome pseudogripal"
"18573","Síndrome serotoninérgico"
"18583","Síndrome vestibular"
"18593","Sinovitis aguda"
"18603","T3 (disminución)"
"18634","Trombopenia"
"18683","Taquicardia permanente"
"18693","Taquicardia refleja"
"18733","Taquicardia ventricular polimorfa"
"18753","Taquipnea"
"18781","Hepatitis vírica"
"18783","Aplastamiento vertebral"
"18793","Índice de protrombina (aumento)"
"18814","Ulceración bucal"
"18823","Telangiectasia"
"18843","Tiempo de trombina (prolongación)"
"18853","Tendinitis"
"18863","Tenesmo rectal"
"18873","Tenesmo vesical"
"18883","Tenosinovitis"
"18903","Teratogenicidad"
"18923","Prueba de Coombs positiva"
"18933","Testosteronemia (aumento)"
"18943","Testosteronemia (disminución)"
"18953","Tetania"
"18973","Tesaurismosis"
"18983","Trombinemia (disminución)"
"18993","Trombocitosis"
"19033","Tromboflebitis en el punto de inyección"
"19063","Trombosis de la arteria renal"
"19073","Trombosis relacionada con el catéter"
"19074","Conjuntivitis alérgica"
"19083","Trombosis mesentérica"
"19093","Trombosis portal"
"19094","Agresividad"
"19111","Colitis ulcerosa"
"19113","Trombosis vascular periférica"
"19133","Tromboflebitis cerebral"
"19142","Bloqueo sinoauricular"
"19143","Tromboflebitis profunda"
"19153","Tiroiditis"
"19162","Hiperglucemia"
"19163","Tiroiditis subaguda"
"19173","Tics"
"19181","Inflamación en la zona de inyección"
"19183","Tolerancia al esfuerzo (disminución)"
"19223","Tos"
"19232","Hemolítico y urémico, síndrome"
"19233","Tos irritativa"
"19243","Tos seca"
"19253","Afectación del oído"
"19273","Afectación cutaneomucosa"
"19283","Afectación digestiva"
"19284","Candidiasis oral"
"19293","Trastorno hematológico"
"19294","Candidiasis digestiva"
"19313","Neuropatía"
"19324","Ansiedad"
"19334","Anguilulosis"
"19363","Toxicomanía"
"19393","Transaminasas (aumento)"
"19403","Transaminasas (disminución)"
"19413","Tránsito intestinal (aceleración)"
"19414","Ascaridiosis"
"19423","Tránsito intestinal (ralentización)"
"19433","Parto prolongado"
"19453","Temblor de las extremidades"
"19463","Temblor intencionado"
"19472","Intoxicación hídrica"
"19473","Trismus"
"19481","Mixoedema"
"19483","Episodio cardiovascular"
"19493","Trastorno circulatorio cerebral"
"19523","Trastorno de la acomodación"
"19533","Apetito (modificación)"
"19543","Trastorno de la atención"
"19553","Trastorno de la eyaculación"
"19563","Trastorno de la elocución"
"19573","Trastorno del equilibrio"
"19583","Trastorno de la erección"
"19593","Hematopoyesis (anomalía)"
"19603","Trastorno del estado de ánimo"
"19613","Trastorno de la ideación"
"19623","Olfato (modificación)"
"19633","Osificación (modificación)"
"19653","Concentración (disminución)"
"19663","Trastorno de la conducción cardíaca"
"19673","Trastorno de la conducción cardíaca (empeoramiento)"
"19683","Trastorno de la conducción ventricular"
"19693","Alteración de la consciencia"
"19703","Contractilidad uterina (anomalía)"
"19713","Crecimiento de la uña (modificación)"
"19723","Trastorno de la deglución"
"19733","Trastorno de la libido"
"19743","Trastorno de la deambulación"
"19752","Edema macular cistoide"
"19753","Trastorno de la memoria"
"19773","Trastorno de la palabra"
"19783","Trastorno de la personalidad"
"19793","Alteración del color de la piel"
"19794","Carencia de vitamina B6"
"19803","Trastorno de la pubertad"
"19813","Trastorno de la repolarización"
"19833","Trastorno neurosensorial táctil"
"19834","Carencia de vitamina E"
"19853","Trastorno digestivo"
"19893","Trastorno del sueño"
"19894","Chalazión"
"19903","Tránsito intestinal (modificación)"
"19913","Trastorno emotivo"
"19923","Trastorno endocrino"
"19933","Trastorno gástrico"
"19943","Prurito vaginal"
"19953","Afectación gingivodental"
"19963","Trastorno hepático"
"19973","Trastorno hidroelectrolítico"
"19983","Trastorno menstrual"
"19993","Trastorno metabólico"
"20003","Trastorno musculoesquelético"
"20013","Trastorno neurológico"
"20033","Trastorno neuropsicológico"
"20043","Trastorno neurosensorial"
"20053","Trastorno neurovegetativo"
"20063","Trastorno obsesivo-compulsivo"
"20083","Afectación escleral"
"20103","Trastorno psicológico"
"20123","Trastorno respiratorio"
"20143","Trastorno sexual"
"20153","Trastorno esfinteriano"
"20163","Trastorno tensional"
"20212","Lesión bucal"
"20213","Tumor benigno de la piel"
"20223","Tumor uterino"
"20233","Tumor de mama"
"20253","Úlcera anorrectal"
"20283","Úlcera cutánea"
"20303","Úlcera lingua"
"20313","Úlcera de la mucosa nasal"
"20323","Úlcera digestiva"
"20343","Úlcera gastrointestinal"
"20363","Úlcera genital"
"20373","Úlcera mucosa"
"20383","Úlcera esofágica"
"20393","Úlcera orofaríngea"
"20403","Úlcera peneana"
"20413","Úlcera rectal"
"20433","Úlcera vulvar"
"20453","Úlcera del intestino delgado"
"20473","Úlcera duodenal"
"20483","Úlcera gástrica"
"20493","Úlcera gastroduodenal"
"20503","Úlcera gastroduodenal (empeoramiento)"
"20513","Uremia (aumento)"
"20543","Uricemia (disminución)"
"20563","Uricuria (disminución)"
"20613","Vaginitis"
"20633","Varicosidades (aumento)"
"20653","Vasculitis cutánea"
"20673","Vasoconstricción periférica"
"20683","Vasodilatación periférica"
"20713","Estría"
"20733","Vértigo"
"20743","Hiperandrogenia"
"20773","Velocidad de sedimentación (aumento)"
"20783","Vitiligo"
"20793","Hipervolemia"
"20823","Volumen mamario (aumento)"
"20831","Osteoporosis"
"20833","Volumen mamario (disminución)"
"20843","Vómito"
"20844","Diabetes insulinodependiente"
"20853","Vulvitis"
"20863","Vulvovaginitis"
"20873","Sibilancia"
"20883","Xantopsia"
"20933","Urticaria crónica (empeoramiento)"
"20943","Hemorragia cutáneo-mucosa"
"20953","Fijeza pupilar"
"20954","Eccema palpebral"
"20963","Dolor de las extremidades inferiores"
"20983","Trastorno inmunológico"
"20993","Enfermedad de Berger"
"21003","Hemorroide (empeoramiento)"
"21013","Arritmia supraventricular"
"21023","Espasticidad"
"21043","Ruptura miocárdica"
"21053","Granuloma cutáneo"
"21064","Episcleritis"
"21073","Avitaminosis"
"21083","Uña (modificación)"
"21113","Neumonía lipoidea por inhalación"
"21123","Tinción macular"
"21133","Infarto esplénico"
"21143","Enteropatía"
"21153","Necrosis hepática"
"21163","Quemadura uretral"
"21173","Hemorragia uretral"
"21183","Trastorno peneano"
"21203","Erección prolongada"
"21213","Claudicación intermitente (empeoramiento)"
"21223","Síndrome de separación de las citoquinas por sales"
"21243","Secreción de la mucosidad cervicouterina (modificación)"
"21244","Estado epiléptico"
"21253","Fibrosis pericárdica"
"21263","Tos (aumento)"
"21273","Trastorno pulmonar"
"21283","Expectoración (aumento)"
"21293","Movimiento ocular involuntario"
"21303","Expectoración (decoloración)"
"21323","Tortícolis espasmódica (empeoramiento)"
"21333","Dolor cervical"
"21343","Estimulación electrofisiológica de músculo distante"
"21353","Zinc plasmático (disminución)"
"21373","Ciática"
"21383","Edema escrotal"
"21393","Trastorno ventilatorio"
"21413","Peso (variación)"
"21443","Diverticulosis"
"21453","Lipasa sérica (aumento)"
"21473","Limbitis"
"21493","Coroiditis"
"21503","Decoloración de la lengua"
"21523","Reticulocitosis"
"21553","Síndrome de sobrecarga grasa"
"21563","Hipersensibilidad retardada"
"21572","Cistocele"
"21593","Torsión ovárica"
"21603","Estridor durante la inspiración"
"21613","Eritema descamativo"
"21623","Llanto persistente"
"21633","Necrosis en el punto de inyección"
"21653","Síndrome de filtración capilar"
"21663","Erupción vesiculobullosa"
"21673","Neumopatía de hipersensibilidad"
"21693","Inmunoglobulina (anomalía)"
"21713","Agudeza intelectual (disminución)"
"21723","Erupción folicular"
"21763","Tinción del sudor"
"21773","Vómito negruzco"
"21793","Tumor"
"21803","Crisis de claustrofobia"
"21813","Ruptura de la membrana timpánica"
"21823","Atelectasia"
"21833","Lesión pulmonar"
"21843","Trombosis del injerto"
"21844","Hipertonía ocular"
"21853","Parosmia"
"21863","Arritmia auricular"
"21864","Hipertensión intracraneal"
"21873","Olor corporal (modificación)"
"21882","Trombopenia inducida por heparina"
"21883","Inflamación de las serosas"
"21893","Folículo conjuntival"
"21903","Papilitis"
"21923","Morfología de las pestañas (modificación)"
"21933","Número de pestañas (modificación)"
"21934","Hipopotasemia"
"21943","Fenómeno Tyndall"
"21953","Anticuerpos antifactor IX"
"21954","Hipoparatiroidismo"
"21993","Ansiedad (empeoramiento)"
"22003","Eritema genital"
"22013","Irritación bucal"
"22023","Trastorno onírico"
"22033","Signos de intoxicación digitálica"
"22043","Vasculitis de hipersensibilidad"
"22053","Leucocituria"
"22063","Tiempo de cefalina (prolongación)"
"22073","Paraparesia"
"22083","Osmolalidad plasmática (disminución)"
"22103","Eliminación fecal del residuo de la forma galénica"
"22113","Síndrome reumatoide"
"22141","Enfermedad venooclusiva pulmonar"
"22163","Endometriosis (empeoramiento)"
"22173","Fibroma uterino"
"22193","Herpes gestacional"
"22203","Herpes gestacional (empeoramiento)"
"22213","Corea de Sydenham"
"22223","Corea de Sydenham (empeoramiento)"
"22233","Microangiopatía trombótica (empeoramiento)"
"22243","Ictericia colestásica (empeoramiento)"
"22253","Complicaciones asociadas a la vía de administración"
"22293","Desviación del pene"
"22313","Absceso renal"
"22343","Lesión aftoide rectosigmoide"
"22363","Magnesemia (modificación)"
"22373","Enfermedad autoinmune (empeoramiento)"
"22382","Dermatitis exfoliativa"
"22383","Esclerodermia (reagudización)"
"22403","Poliartritis reumatoide (reagudización)"
"22414","Infección por VIH"
"22423","Vasodilatación"
"22443","Trastorno lagrimal"
"22453","Intolerancia al calor"
